ROTOR COMPLETO 115V 9557HN;515611-3;B02573-2;9557HN
ROTOR COMPLETO 220V 9557HN;515613-9;B02574-0;9557HN
ROTOR COMPLETO 115V 3709;515631-7;B02575-8;3709
ROTOR COMPLETO 220V 3709;515633-3;B02576-6;3709
ROTOR COMPLETO 115V GD0600;515676-5;B02577-4;GD0600
ROTOR COMPLETO 220V GD0600;515678-1;B02578-2;GD0600
ROTOR COMPLETO 115V 4327;515716-9;B02579-0;4327
ROTOR COMPLETO 220V 4327;515718-5;B02580-5;4327
ROTOR COMPLETO 115V KP0800;515791-5;B02581-3;KP0800
ROTOR COMPLETO 220V KP0800;515793-1;B02582-1;KP0800
ROTOR COMPLETO 115V HP1640;517456-5;B02583-9;HP1640
ROTOR COMPLETO 115V GA7020;517791-1;B02584-7;GA7020
ROTOR COMPLETO 220V GA7020;517793-7;B02585-5;GA7020
ROTOR COMPLETO 115V GA7030;517826-8;B02586-3;GA7030
ROTOR COMPLETO 220V GA7030;517828-4;B02587-1;GA7030
ROTOR COMPLETO 115V GA7040S;517831-5;B02588-9;GA7040S
ROTOR COMPLETO 220V GA7040S;517833-1;B02589-7;GA7040S
ESTATOR COMPLETO 115V GA7020;520071-6;B02590-2;GA7020
ESTATOR COMPLETO 110V GA7040S;520072-4;B02591-0;GA7040S
ESTATOR COMPLETO 220V GA7020;526178-6;B02592-8;GA7020
ESTATOR COMPLETO 115V GA7030;526191-4;B02593-6;GA7030
ESTATOR COMPL. 220-240V GA7030;526193-0;B02594-4;GA7030
ESTATOR COMPLETO 220V GA7040S;526198-0;B02595-2;GA7040S
ESTATOR COMPL. 220-240V KP0800;593718-5;B02598-6;KP0800
ESTATOR COMPLETO 115V 4100NH2;594581-9;B02599-4;4100NH2
ESTATOR COMPLETO 115V KP0800;599378-1;B02600-2;KP0800
ESTATOR 127V 9557HN;621706-3;B02601-0;9557HN
ESTATOR 220V 9557HN;621708-9;B02602-8;9557HN
ESTATOR 115V GD0600;621721-7;B02603-6;GD0600
ESTATOR 220V GD0600;621723-3;B02604-4;GD0600
ESTATOR 127V HP1640;633566-1;B02605-2;HP1640
ESTATOR 127V 4327;633656-0;B02606-0;4327
ESTATOR 220V 4327;633658-6;B02607-8;4327
ROTOR COMPLETO 115V HR2470;515286-8;B02608-6;HR2470
ROTOR COMPLETO 220V HR2470;515288-4;B02609-4;HR2470
ESTATOR 127V HR2470;626576-5;B02610-9;HR2470
ESTATOR 220-230V HR2470;626578-1;B02611-7;HR2470
ROTOR COMPLETO 127V GA4530;517646-0;B02612-5;GA4530
ROTOR COMPLETO 220V GA4530;517648-6;B02613-3;GA4530
ESTATOR 220V HP1640;633568-7;B02614-1;HP1640
ESTATOR COMPLETO 115V 906;527076-7;B02615-9;906
ESTATOR 127V HP1630;626601-2;B02616-7;HP1630
ESTATOR 220V HP1630;626603-8;B02617-5;HP1630
ROTOR COMPLETO 220V HM0870C;513793-5;B02618-3;HM0870C
ROTOR COMPLETO 115V HM0870C;513791-9;B02619-1;HM0870C
ROTOR COMPLETO 220V 4100NH3;513868-0;B02620-6;4100NH3
ROTOR COMPLETO 115V 4100NH3;513866-4;B02621-4;4100NH3
ESTATOR COMPL 110V 4100NH3;594611-6;B02622-2;4100NH3
ESTATOR COMPL 220V 4100NH3;594613-2;B02623-0;4100NH3
ESTATOR 110V HM0870C;625756-0;B02624-8;HM0870C
ESTATOR 220V HM0870C;625764-1;B02625-6;HM0870C
ESTATOR 127V HM1203C;636301-6;B02626-4;HM1203C
ESTATOR 220V HM1203C;636303-2;B02627-2;HM1203C
ESTATOR COMPLETO 115V 906;521756-7;B02628-0;906
ESTATOR COMPLETO 220V 906;521758-3;B02629-8;906
MOTOR DC COMPLETO HP330D;629962-9;B02630-3;HP330D
MOTOR DC TD090D;629851-8;B02631-1;TD090D
ROTOR COMPLETO 220V HR2470;518166-7;B02632-9;HR2470
ESTATOR 115V GA4530;635111-8;B02633-7;GA4530
ESTATOR 220V GA4530;635113-4;B02634-5;GA4530
ROTOR COMPLETO 115V 5902B;516816-8;B02635-3;5902B
ROTOR COMPLETO 220V 5902B;516818-4;B02636-1;5902B
ESTATOR COMPLETO 115V 5902B;596206-1;B02637-9;5902B
ESTATOR COMPLETO 220V 5902B;596208-7;B02638-7;5902B
ESTATOR 220V HR2470;628192-9;B02639-5;HR2470
ROTOR COMPLETO 115V HP1630;513436-9;B02640-0;HP1630
ROTOR COMPLETO 220V HP1630;513438-5;B02641-8;HP1630
ROTOR COMPLETO 115V HM1203C;510309-7;B02642-6;HM1203C
ROTOR COMPLETO 220V HM1203C;510310-2;B02643-4;HM1203C
ROTOR COMPLETO 115V GD0603;513432-7;B02644-2;GD0603
ROTOR COMPLETO 220V GD0603;513433-5;B02645-0;GD0603
ESTATOR COMPLETO 115V GD0603;593872-5;B02646-8;GD0603
ESTATOR COMPLETO 220V GD0603;593873-3;B02647-6;GD0603
ROTOR COMPLETO 220V HP1640;518176-4;B02648-4;HP1640
ESTATOR COMPLETO 220V 5007N;596288-3;B02649-2;5007N
ROTOR COMPLETO 115V 5007N;510133-8;B02650-7;5007N
ROTOR COMPLETO 220V 5007N;510134-6;B02651-5;5007N
MOTOR DC COMPLETO DF330D;629853-4;B02652-3;DF330D
ESTATOR COMPLETO 115V HR2630;626631-3;B02653-1;HR2630
ESTATOR 220V HR2630;628191-1;B02654-9;HR2630
ROTOR COMPLETO 115V HR263FT;515356-3;B02655-7;HR263FT
ROTOR COMPLETO 220V HR263FT;518165-9;B02656-5;HR263FT
ROTOR COMPLETO 115V HR2641;515901-4;B02657-3;HR2641
ROTOR COMPLETO 220V HR2641;515903-0;B02658-1;HR2641
MOTOR DC COMPLETO HP331D;629167-1;B02659-9;HP331D
MOTOR DC TD110D;629163-9;B02660-4;TD110D
ROTOR COMPLETO 240V HR2470;515289-2;B02661-2;HR2470
ESTATOR COMPLETO 115V 5007N;596286-7;B02662-0;5007N
ROTOR COMPLETO 115V M0400;513876-1;B02663-8;M0400
ROTOR COMPLETO 220V M0400;513878-7;B02664-6;M0400
ROTOR COMPLETO 220V HS7010;515428-4;B02665-4;HS7010
ESTATOR 115V HS7010;594677-6;B02666-2;HS7010
ESTATOR 220-240V HS7010;594679-2;B02667-0;HS7010
ESTATOR COMPLETO 220V M0400;590072-8;B02668-8;M0400
ESTATOR COMPLETO 115V M0400;590071-0;B02669-6;M0400
ROTOR COMPLETO 115V 4100NH2;518192-6;B02670-1;4100NH2
ESTATOR COMPLETO 220V 4100NH2;599095-3;B02671-9;4100NH2
ESTATOR 127V HR2641;633711-8;B02672-7;HR2641
ROTOR COMPLETO 220V 4100NH2;510221-1;B02673-5;4100NH2
ROTOR COMPLETO 115V HS7010;517972-7;B02674-3;HS7010
MOTOR DC COMPLETO DF333D;629395-8;B02675-1;DF333D
ESTATOR 220V VR1000;521918-7;B02676-9;VR1000
ESTATOR 115V VR1000;521917-9;B02677-7;VR1000
MOTOR DC COMPLETO HP453D2;629834-8;B02678-5;HP453D2
ROTOR COMPLETO 220-240V M9510;515548-4;B02679-3;M9510
ESTATOR COMPLETO 115V 3709;590089-1;B02680-8;3709
ESTATOR COMPLETO 220V 3709;590090-6;B02681-6;3709
ESTATOR 220V HR2641;633713-4;B02682-4;HR2641
ROTOR COMPLETO 220V VR1000;515558-1;B02683-2;VR1000
ROTOR COMPLETO 115V M9510;515547-6;B02684-0;M9510
ROTOR COMPLETO 115V VR1000;515557-3;B02685-8;VR1000
ROTOR COMPLETO 115V M0901;515826-2;B02686-6;M0901
ROTOR COMPLETO CC500D;519665-2;B02687-4;CC500D
ESTATOR CC500D;629A39-6;B02688-2;CC500D
ROTOR HP482D;619380-9;B02689-0;HP482D
ESTATOR HP482D;632J70-7;B02690-5;HP482D
ROTOR HP482D;619583-5;B02691-3;HP482D
ESTATOR 220V M9510;621813-2;B02692-1;M9510
ESTATOR 127V M9510;621811-6;B02693-9;M9510
ROTOR COMPLETO 115V HP0300;517997-1;B02694-7;HP0300
ROTOR COMPLETO 220V HP0300;517998-9;B02695-5;HP0300
ESTATOR 127V  HP0300;634737-3;B02696-3;HP0300
ESTATOR 220V  HP0300;634738-1;B02697-1;HP0300
ESTATOR 127V M0801;633982-7;B02698-9;M0801
ESTATOR 127V M0901;633751-6;B02699-7;M0901
ESTATOR 220V M0901;639382-9;B02700-5;M0901
ROTOR COMPLETO 115V HP1640;518374-0;B02701-3;HP1640
ROTOR COMPLETO 115V M1902;513476-7;B02702-1;M1902
ROTOR COMPLETO 220V M1902;513478-3;B02703-9;M1902
ESTATOR COMPLETO 115V M1902;590099-8;B02704-7;M1902
ESTATOR COMPLETO 220V M1902;590100-9;B02705-5;M1902
ROTOR COMPLETO 115V M8701;513942-4;B02706-3;M8701
ROTOR COMPLETO 220V M8701;513943-2;B02707-1;M8701
ROTOR COMPLETO 240V M8701;513944-0;B02708-9;M8701
ESTATOR COMPLETO 115V M3700;593971-3;B02709-7;M3700
ESTATOR 220V M8701;633978-8;B02710-2;M8701
ESTATOR COMPLETO 115V M3700;590105-9;B02711-0;M3700
ESTATOR COMPLETO 220V M3700;590106-7;B02712-8;M3700
MOTOR COMPLETO CL180D;125867-6;B02713-6;CL180D
CONJUNTO DE ENGRENAGEM HP0300;127355-9;B02714-4;HP0300
CONJUNTO DE ENGRENAGEM HP333D;127124-8;B02715-2;HP333D
CONJUNTO DE ENGRENAGEM DF033D;127598-3;B02716-0;DF033D
CONJUNTO DE ENGRENAGEM HP482D;123443-0;B02717-8;HP482D
CONJUNTO DE ENGRENAGEM DF033D;123504-6;B02718-6;DF033D
CONJUNTO DE ENGRENAGEM DF333D;127125-6;B02719-4;DF333D
CONJUNTO DE ENGRENAGEM DF330D;127099-1;B02720-9;DF330D
CONJUNTO DE ENGRENAGEM HP330D;123502-0;B02721-7;HP330D
CONJUNTO DE ENGRENAGEM HP453D2;126419-6;B02722-5;HP453D2
ROTOR COMPLETO 220V M0901;510276-6;B02723-3;M0901
ROTOR COMPLETO 220V M0801;515893-7;B02724-1;M0801
ESTATOR COMPLETO 220V M0400;593953-5;B02725-9;M0400
CONJUNTO ROTOR TW1001D;519592-3;B02726-7;TW1001D
ESTATOR 220V M0801;633983-5;B02727-5;M0801
ESTATOR TW300D;629A98-0;B02728-3;TW300D
ESTATOR 115V M8701;633977-0;B02729-1;M8701
CONJUNTO DE ENGRENAGEM HP333D;122C95-2;B02730-6;HP333D
ROTOR COMPLETO 115V 4100NH2;518386-3;B02731-4;4100NH2
ESTATOR TW1001D;629B59-6;B02732-2;TW1001D
ESTATOR UB362D;629B73-2;B02733-0;UB362D
ESTATOR 240V HR2630;626634-7;B02734-8;HR2630
CONJUNTO DO MOTOR CL106FD;123849-2;B02735-6;CL106FD
MOTOR DC COMPLETO HP488D;629937-8;B02736-4;HP488D
CAIXA ENGRENAGEM TW300D;140T37-6;B02737-2;TW300D
PLACA DO INTERRUPTOR TW1001D;143417-5;B02738-0;TW1001D
ROTOR TW300D;619626-3;B02739-8;TW300D
CONJUNTO DA PORCA APERTO MANUAL;252640-2;B02740-3;HM1203C
MOTOR DC COMPLETO UB185D;629484-9;B02741-1;UB185D